atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Nanumea,0.3488,0.4496,0.7436,0.4532,0.7768,0.3592,0.5996,0.756,0.6468,0.4404,0.294,0.2984,0.2792,0.3504,0.5456,0.3436,0.6152,0.396,0.5644,0.4156,0.744,0.3352,0.446,0.764,0.37,0.3016,0.5156,0.3532,0.442,0.352,0.7688,0.7352,0.312,0.15,0.0588,0.4364,0.3452
Ngulu,0.5944,0.6088,0.2544,0.6132,0.246,0.6016,0.306,0.2416,0.382,0.4172,0.7196,0.7468,0.7652,0.6696,0.4692,0.7012,0.4192,0.492,0.8208,0.5076,0.2468,0.6004,0.6572,0.4596,0.5672,0.7108,0.486,0.5884,0.6064,0.618,0.2152,0.2684,0.7044,0.166,0.224,0.462,0.6216
Nihiru,0.5144,0.538,0.6492,0.4976,0.6364,0.5128,0.684,0.6544,0.5796,0.5792,0.4224,0.418,0.4272,0.474,0.594,0.4392,0.5472,0.6048,0.3532,0.5824,0.6552,0.5176,0.4784,0.472,0.4992,0.4304,0.5512,0.524,0.5152,0.5276,0.6664,0.654,0.4352,0.8444,0.8444,0.6068,0.528
Nikunau,0.5984,0.7356,0.9164,0.7392,0.9096,0.7092,0.7348,0.9008,0.83,0.462,0.57,0.5724,0.5796,0.5284,0.4492,0.6436,0.7724,0.4596,0.752,0.6516,0.9208,0.584,0.6424,0.6412,0.5848,0.5396,0.8532,0.574,0.752,0.7004,0.9128,0.9168,0.5504,0.1128,0.0356,0.4784,0.706
Nomwin,0.2172,0.18,0.1292,0.1752,0.1088,0.154,0.24,0.1316,0.1956,0.3724,0.2284,0.21,0.2108,0.3936,0.5436,0.1644,0.3564,0.4148,0.356,0.3236,0.1208,0.2132,0.2952,0.3388,0.2644,0.2356,0.1476,0.2132,0.1776,0.1556,0.1328,0.1324,0.2316,0.4532,0.6124,0.4508,0.152
Nui,0.2668,0.3336,0.6176,0.316,0.6688,0.2276,0.594,0.6464,0.5604,0.444,0.2064,0.1912,0.204,0.2664,0.6704,0.21,0.5436,0.4216,0.4216,0.3248,0.6288,0.2584,0.334,0.8452,0.312,0.2,0.342,0.264,0.3324,0.22,0.6568,0.608,0.2044,0.2676,0.1408,0.4696,0.2392
Nukufetau,0.3068,0.3124,0.5252,0.3176,0.5624,0.2636,0.5644,0.5544,0.4584,0.4216,0.2704,0.264,0.26,0.2804,0.6496,0.2468,0.4168,0.4536,0.3016,0.3004,0.5348,0.2988,0.2496,0.754,0.3664,0.2792,0.2836,0.312,0.3156,0.2664,0.5436,0.51,0.2964,0.362,0.2612,0.4476,0.2656
Olimarao,0.4688,0.3884,0.1828,0.4036,0.1824,0.4056,0.1692,0.1876,0.354,0.5304,0.5584,0.5556,0.576,0.5664,0.3056,0.5324,0.4052,0.3748,0.6832,0.394,0.1732,0.4784,0.6188,0.4116,0.4652,0.5628,0.3352,0.4828,0.4216,0.4152,0.2004,0.1984,0.558,0.4648,0.5916,0.392,0.4096
Pinipel,0.1232,0.0848,0.314,0.076,0.2832,0.0952,0.1728,0.2804,0.2,0.1248,0.1936,0.1368,0.1492,0.1668,0.2556,0.1452,0.3192,0.172,0.3056,0.1616,0.302,0.1332,0.0664,0.3056,0.1988,0.192,0.1444,0.1264,0.0724,0.0904,0.272,0.3148,0.1884,0.018,0.0064,0.1252,0.0896
Pulap,0.2752,0.2476,0.158,0.2456,0.1708,0.2244,0.22,0.1664,0.2504,0.4004,0.3324,0.3028,0.3232,0.4204,0.4812,0.2804,0.3596,0.3904,0.5148,0.3104,0.1544,0.2756,0.3784,0.4532,0.328,0.3092,0.2064,0.2756,0.2504,0.2276,0.1672,0.1544,0.3192,0.3588,0.468,0.3912,0.21
Pulusuk,0.2972,0.2604,0.1664,0.2584,0.1788,0.2024,0.202,0.2028,0.3008,0.478,0.3196,0.3164,0.3352,0.442,0.4188,0.2896,0.3996,0.3528,0.5976,0.3044,0.1632,0.2992,0.4916,0.568,0.3276,0.3168,0.2184,0.3,0.2372,0.2004,0.1804,0.172,0.32,0.4216,0.4804,0.4124,0.2088
Puluwat,0.2544,0.1848,0.152,0.2028,0.1752,0.1612,0.2164,0.18,0.2572,0.4712,0.2708,0.2524,0.266,0.3556,0.4484,0.2268,0.3348,0.3768,0.3916,0.2668,0.162,0.232,0.3092,0.5044,0.3004,0.2648,0.182,0.2556,0.19,0.1644,0.1864,0.1596,0.2728,0.5064,0.6064,0.3824,0.1736
Rasdhoo,0.4308,0.3852,0.4528,0.3612,0.42,0.4364,0.3408,0.4212,0.3828,0.3116,0.5476,0.5188,0.5276,0.3704,0.3276,0.4916,0.3724,0.3388,0.4436,0.322,0.4592,0.4148,0.3168,0.4604,0.4524,0.5484,0.3896,0.4424,0.3628,0.426,0.4352,0.4656,0.5516,0.0924,0.0648,0.2548,0.4396
Ravahere,0.5508,0.4664,0.5048,0.4536,0.5204,0.5264,0.5448,0.5188,0.5036,0.666,0.4696,0.4468,0.4612,0.4956,0.504,0.4616,0.4612,0.6024,0.23,0.5456,0.5044,0.5368,0.476,0.3676,0.5384,0.4756,0.494,0.56,0.4536,0.5288,0.5296,0.5276,0.4948,0.964,0.9788,0.5724,0.5176
Redlick,0.056,0.0364,0.1008,0.034,0.0976,0.0192,0.1004,0.1004,0.1744,0.33,0.0524,0.042,0.0288,0.2672,0.3136,0.0372,0.4544,0.2368,0.318,0.2536,0.0964,0.0596,0.1896,0.1456,0.0988,0.0496,0.0868,0.0608,0.0396,0.0272,0.09,0.0924,0.0492,0.4468,0.5356,0.3164,0.028
