atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Dhaalu,0.744,0.121,0.357,0.112,0.531,0.451,0.057,0.214,0.078,0.112,0.271,0.368,0.529,0.528,0.296,0.507,0.101,0.06,0.03,0.064,0.115,0.096,0.049,0.136,0.182,0.106,0.079,0.11,0.132,0.081,0.178,0.322,0.442,0.079,0.06,0.185,0.433
Eauripik,0.935,0.946,0.034,0.161,0.827,0.488,0.056,0.057,0.037,0.05,0.082,0.09,0.735,0.779,0.021,0.344,0.085,0.054,0.092,0.043,0.033,0.074,0.069,0.066,0.072,0.09,0.043,0.102,0.263,0.106,0.043,0.145,0.7,0.048,0.03,0.351,0.614
Ebon,0.905,0.878,0.085,0.057,0.898,0.332,0.164,0.089,0.057,0.064,0.052,0.035,0.631,0.723,0.076,0.219,0.187,0.058,0.052,0.051,0.077,0.05,0.04,0.113,0.056,0.031,0.039,0.05,0.098,0.048,0.075,0.255,0.613,0.045,0.016,0.458,0.483
Elato,0.875,0.741,0.018,0.023,0.746,0.285,0.047,0.028,0.023,0.032,0.038,0.042,0.582,0.665,0.021,0.157,0.063,0.039,0.024,0.031,0.033,0.036,0.03,0.037,0.049,0.035,0.018,0.035,0.047,0.039,0.024,0.111,0.536,0.129,0.063,0.298,0.395
Faadhippolhu,0.747,0.185,0.312,0.176,0.47,0.499,0.072,0.203,0.063,0.103,0.26,0.359,0.549,0.489,0.28,0.546,0.093,0.061,0.062,0.047,0.084,0.129,0.059,0.144,0.182,0.091,0.085,0.119,0.194,0.089,0.158,0.284,0.45,0.075,0.031,0.169,0.467
Faafu,0.735,0.115,0.335,0.094,0.466,0.419,0.061,0.204,0.078,0.112,0.264,0.345,0.512,0.497,0.273,0.538,0.104,0.074,0.038,0.083,0.092,0.1,0.051,0.148,0.175,0.095,0.08,0.105,0.114,0.073,0.162,0.319,0.416,0.092,0.042,0.17,0.427
Faraulep,0.941,0.936,0.054,0.116,0.875,0.521,0.093,0.065,0.047,0.051,0.074,0.085,0.737,0.784,0.035,0.333,0.148,0.062,0.101,0.04,0.048,0.073,0.076,0.105,0.062,0.063,0.044,0.087,0.188,0.105,0.049,0.197,0.703,0.083,0.027,0.413,0.659
Felidhu,0.755,0.17,0.309,0.158,0.49,0.433,0.052,0.193,0.068,0.093,0.24,0.364,0.569,0.508,0.216,0.567,0.082,0.054,0.053,0.062,0.071,0.119,0.063,0.147,0.174,0.132,0.083,0.115,0.165,0.069,0.139,0.292,0.463,0.077,0.045,0.154,0.444
Gaafaru,0.694,0.107,0.286,0.085,0.44,0.414,0.027,0.165,0.055,0.09,0.244,0.34,0.527,0.453,0.128,0.512,0.086,0.046,0.04,0.054,0.07,0.091,0.079,0.121,0.154,0.1,0.066,0.109,0.101,0.065,0.133,0.248,0.414,0.109,0.087,0.114,0.406
Haddhunmathi,0.754,0.139,0.342,0.132,0.555,0.456,0.072,0.241,0.093,0.129,0.258,0.339,0.518,0.542,0.349,0.528,0.111,0.058,0.039,0.081,0.108,0.13,0.052,0.199,0.177,0.118,0.078,0.097,0.127,0.067,0.191,0.321,0.444,0.068,0.04,0.221,0.426
Hikueru,0.936,0.799,0.045,0.161,0.895,0.463,0.213,0.022,0.043,0.04,0.032,0.035,0.11,0.257,0.067,0.16,0.354,0.062,0.042,0.058,0.062,0.063,0.058,0.037,0.049,0.064,0.058,0.065,0.076,0.097,0.069,0.335,0.438,0.456,0.089,0.604,0.709
Hiti,0.84,0.6,0.035,0.036,0.876,0.288,0.131,0.022,0.034,0.034,0.027,0.019,0.064,0.182,0.041,0.103,0.418,0.04,0.028,0.047,0.033,0.036,0.037,0.016,0.036,0.044,0.033,0.04,0.025,0.058,0.05,0.261,0.289,0.536,0.142,0.505,0.582
Huvadhu,0.771,0.16,0.404,0.148,0.595,0.461,0.139,0.277,0.117,0.157,0.287,0.34,0.549,0.576,0.508,0.498,0.129,0.096,0.049,0.094,0.106,0.122,0.059,0.243,0.193,0.128,0.101,0.126,0.188,0.09,0.201,0.371,0.44,0.048,0.049,0.283,0.477
Ifalik,0.924,0.915,0.03,0.097,0.836,0.394,0.079,0.032,0.034,0.045,0.049,0.061,0.675,0.713,0.027,0.273,0.087,0.056,0.059,0.04,0.042,0.048,0.067,0.059,0.057,0.046,0.03,0.066,0.187,0.07,0.031,0.157,0.654,0.068,0.032,0.347,0.523
Ihavandhippolu,0.762,0.151,0.317,0.173,0.462,0.479,0.052,0.206,0.059,0.087,0.294,0.393,0.583,0.509,0.247,0.553,0.082,0.063,0.052,0.066,0.085,0.121,0.064,0.147,0.174,0.124,0.079,0.111,0.191,0.08,0.139,0.279,0.483,0.072,0.047,0.199,0.487
Kalpeni,0.809,0.293,0.352,0.28,0.555,0.541,0.072,0.24,0.1,0.127,0.295,0.44,0.623,0.603,0.226,0.63,0.145,0.069,0.161,0.077,0.107,0.147,0.159,0.168,0.206,0.137,0.156,0.137,0.313,0.117,0.191,0.345,0.485,0.039,0.022,0.198,0.563
Katiu,0.847,0.672,0.025,0.09,0.896,0.277,0.2,0.032,0.024,0.031,0.035,0.013,0.061,0.18,0.052,0.122,0.401,0.054,0.025,0.034,0.051,0.041,0.027,0.021,0.038,0.033,0.037,0.044,0.045,0.058,0.067,0.285,0.294,0.388,0.055,0.54,0.573
Kiltan,0.781,0.28,0.353,0.257,0.542,0.545,0.048,0.26,0.092,0.104,0.293,0.43,0.6,0.582,0.154,0.623,0.182,0.066,0.174,0.082,0.08,0.126,0.21,0.133,0.191,0.141,0.159,0.139,0.265,0.122,0.184,0.332,0.5,0.037,0.032,0.157,0.558
Kolhumadulu,0.743,0.128,0.334,0.12,0.493,0.443,0.086,0.219,0.074,0.118,0.282,0.362,0.57,0.526,0.28,0.528,0.075,0.081,0.05,0.069,0.094,0.113,0.055,0.152,0.201,0.116,0.069,0.13,0.13,0.082,0.177,0.294,0.446,0.087,0.053,0.186,0.456
Kuop,0.663,0.402,0.023,0.006,0.677,0.114,0.037,0.021,0.022,0.036,0.015,0.013,0.264,0.591,0.034,0.067,0.131,0.035,0.033,0.04,0.024,0.007,0.022,0.025,0.022,0.017,0.004,0.017,0.012,0.015,0.013,0.074,0.283,0.134,0.087,0.26,0.178
Lamotrek,0.914,0.858,0.02,0.06,0.798,0.332,0.064,0.045,0.026,0.043,0.054,0.047,0.645,0.722,0.028,0.207,0.078,0.036,0.032,0.034,0.034,0.04,0.031,0.037,0.044,0.051,0.02,0.048,0.085,0.052,0.021,0.124,0.62,0.121,0.044,0.333,0.489
Laualau,0.357,0.145,0.083,0.011,0.467,0.069,0.035,0.151,0.17,0.089,0.036,0.038,0.224,0.208,0.061,0.131,0.191,0.073,0.037,0.091,0.088,0.029,0.021,0.122,0.048,0.04,0.04,0.04,0.024,0.021,0.082,0.405,0.164,0.304,0.178,0.387,0.196
Lib,0.938,0.91,0.044,0.137,0.908,0.492,0.096,0.066,0.056,0.056,0.067,0.064,0.726,0.791,0.032,0.343,0.195,0.052,0.134,0.049,0.071,0.066,0.122,0.077,0.064,0.065,0.064,0.102,0.216,0.104,0.046,0.245,0.673,0.083,0.034,0.419,0.647
Liot,0.429,0.199,0.103,0.005,0.519,0.084,0.042,0.176,0.189,0.097,0.049,0.072,0.304,0.186,0.061,0.19,0.204,0.094,0.057,0.1,0.099,0.038,0.021,0.191,0.073,0.048,0.052,0.034,0.038,0.03,0.093,0.412,0.201,0.203,0.097,0.346,0.241
Long_Reef,0.48,0.544,0.063,0.05,0.415,0.109,0.049,0.106,0.119,0.054,0.033,0.073,0.328,0.239,0.079,0.192,0.241,0.083,0.124,0.079,0.069,0.05,0.068,0.043,0.051,0.047,0.071,0.05,0.194,0.039,0.053,0.335,0.228,0.155,0.088,0.399,0.308
Maalhosmadulu,0.73,0.114,0.309,0.108,0.514,0.388,0.067,0.195,0.065,0.111,0.204,0.33,0.484,0.519,0.311,0.491,0.09,0.072,0.026,0.065,0.091,0.1,0.06,0.129,0.171,0.095,0.076,0.099,0.121,0.079,0.171,0.283,0.386,0.101,0.077,0.198,0.381
