atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Kademat,Indian_Ocean,yes,11.2206,72.7685,1,1510,3.55,9,4,1,3,4,34,Sri_Lanka,826,277,5389
Kalpeni,Indian_Ocean,no,10.1026,73.6394,7,1614,2.99,19,4,0,1,7,142,Sri_Lanka,694,261,4526
Kapingamarangi,Micronesia,yes,1.0673232,154.7624414,33,3193,1.1,60,0,0,0,0,305,New_Ireland,561,1873,500
Katiu,Polynesia,no,-16.4236,-144.3601,32,1590,10,240,0,0,0,1,25,Tahiti,526,6454,250
Kauehi,Polynesia,yes,-15.8772,-145.1562,56,1620,16,313,0,0,0,2,31,Tahiti,472,6395,257
Kaukura,Polynesia,yes,-15.7563,-146.6987,51,1701,13.5,448,0,1,1,4,35,Tahiti,344,6251,475
Kavaratti,Indian_Ocean,yes,10.55905,72.6365688,1,1600,3.93,4,1,1,1,6,61,Sri_Lanka,821,356,11473
Kilinailau,Melanesia,yes,-4.76,155.3899,7,3000,0.6,258,0,0,0,0,169,Bougainville,85,1554,2600
Kiltan,Indian_Ocean,no,11.4803,73.0017,1,1510,1.78,1,2,2,2,3,34,Sri_Lanka,804,241,4041
Kiritimati,Polynesia,yes,1.872,-157.3842085,6,816,388,380,0,0,0,0,295,Hawaii,1885,6126,7380
Kolhumadulu,Indian_Ocean,no,2.3764,73.1045,66,1966,0.71,1562,0,0,0,0,35,Sri_Lanka,878,784,8493
Kuop,Micronesia,no,7.0496,151.928,2,3594,0.5,87,5,1,4,11,85,Chuuk,25,2219,0
Kure,Polynesia,yes,28.4192965,-178.3299095,2,1101,0.86,47,0,1,1,2,90,Kauai,1992,4180,0
Kuria,Micronesia,yes,0.232269,173.413016,2,1446,15.47,0,0,0,0,0,38,Nauru,730,3522,1046
Kwajalein,Micronesia,yes,9.3825055,167.0714106,97,2508,16,2222,4,5,6,9,85,Kosrae,650,3539,1000
Lae,Micronesia,yes,8.9367249,166.2321317,20,2286,1.5,18,5,2,4,8,51,Kosrae,528,3399,347
Lamotrek,Micronesia,no,7.4921,146.3187,3,2641,0.98,35,8,2,7,17,16,Chuuk,578,2057,373
Laualau,Melanesia,no,-1.126591,144.493387,6,3382,3.02,7,0,0,0,0,8,Manus,250,1075,0
Laysan,Polynesia,yes,25.767765,-171.7328,1,860,4.11,0.7,2,0,1,1,226,Kauai,1278,4858,0
Lib,Micronesia,no,8.3132,167.3805,1,2581,0.93,0.1,9,2,4,5,66,Kosrae,581,3463,155
Likiep,Micronesia,yes,9.9230228,169.0972652,65,1778,10.26,417,1,1,1,4,85,Kosrae,847,3717,401
Liot,Melanesia,no,-1.4103,144.5115,1,3382,1.27,1,0,0,0,0,21,Manus,236,1049,
Lisianski,Polynesia,yes,25.065938,-173.966076,1,1082,1.36,220,2,1,2,3,226,Kauai,1506,4595,0
Long_Reef,Melanesia,no,-11.1741,151.5782,8,3000,3.4,896,4,1,1,1,46,Papua,116,789,0
Losap,Micronesia,yes,6.884,152.691,10,3400,1.33,34,7,0,3,8,79,Chuuk,85,2252,448
Lukunor,Micronesia,yes,5.5552778,153.7425,18,3439,2.82,55,2,0,0,5,8,Chuuk,272,2191,920
Maalhosmadulu,Indian_Ocean,no,5.5827,72.9493,88,1779,10.55,1066,0,0,0,0,17,Sri_Lanka,780,559,14756
Maiana,Micronesia,yes,0.9321,173.0036,13,1769,16.71,128,0,0,0,0,43,Nauru,690,3513,1982
Majuro,Micronesia,yes,7.0909924,171.3816354,64,3349,9.7,317,2,0,1,3,32,Kosrae,920,3750,27797
Makemo,Polynesia,no,-16.618,-143.689,143,1722,56,632,0,0,0,0,41,Tahiti,589,6505,824
Makunudhoo,Indian_Ocean,no,6.3094,72.6161,4,1779,0.86,96,0,0,0,1,29,Sri_Lanka,802,512,1842
Malden,Polynesia,yes,-4.0221,-154.925,1,727,39.3,0,0,0,0,0,207,Bora_Bora,1421,6039,0
Male,Indian_Ocean,no,4.4214,73.5037,107,1993,12.92,1439,1,0,0,0,30,Sri_Lanka,748,582,119137
Maloelap,Micronesia,no,8.737,171.0411,71,2540,9.8,935,3,1,1,3,40,Kosrae,963,3824,682
Malum,Melanesia,no,-3.1461,154.4937,17,3000,1.46,28,0,0,0,0,9,New_Ireland,195,1560,0
Manihi,Polynesia,yes,-14.4038,-145.9477,105,1649,13,167,0,1,1,2,29,Tahiti,501,6388,650
Manihiki,Polynesia,yes,-10.4349377,-160.9958241,43,2347,4,47,0,0,0,1,43,Bora_Bora,1199,5136,212
Manra,Polynesia,yes,-4.4556,-171.2444,1,985,4.4,4,0,0,0,0,98,Samoa,999,4467,0
Manuae,Polynesia,no,-19.2697,-158.9441,2,1707,6.17,7,6,2,5,8,459,Rarotonga,230,4903,0
Manuhangi,Polynesia,yes,-19.2011,-141.2441,20,1501,3.75,9,0,0,0,2,55,Mangareva,778,6629,0
Marakei,Micronesia,yes,2.0014,173.2765,2,1709,14.13,25,0,0,0,0,34,Nauru,755,3615,2799
Maria,Polynesia,yes,-21.810839,-154.705309,4,1894,1.9,4,2,0,1,3,520,Rarotonga,523,5246,0
Maria_Est,Polynesia,yes,-22.016,-136.1892,17,1683,3.75,7,0,0,0,1,60,Mangareva,171,7003,0
Marokau,Polynesia,no,-18.0605,-142.2658,58,1465,14.7,225,0,0,0,0,13,Tahiti,726,6586,91
Marutea_Nord,Polynesia,no,-17.0245,-143.1548,35,1593,2.7,480,0,0,0,0,42,Tahiti,638,6541,0
Marutea_Sud,Polynesia,yes,-21.5207,-135.5566,66,1658,12,114,3,1,1,1,82,Mangareva,183,7083,245
Mataiva,Polynesia,yes,-14.8831,-148.6738,12,1752,25,25,0,2,2,3,43,Tahiti,301,6100,280
Matureivavao,Polynesia,yes,-21.4721,-136.3935,26,1658,2.5,18,2,0,1,3,18,Mangareva,232,6992,0
Maupihaa,Polynesia,yes,-16.8098,-153.9555,11,1846,2.6,32,2,2,3,4,75,Maupiti,185,5526,10
McKean,Polynesia,yes,-3.5954,-174.1229,1,659,0.57,0.18,0,0,0,0,126,Samoa,1106,4413,0
Meemu,Indian_Ocean,no,2.9917,73.5007,33,1966,3.31,876,0,0,0,0,24,Sri_Lanka,809,706,4705
Midway,Polynesia,yes,28.2417536,-177.3754308,3,1101,6.27,48,1,2,2,2,90,Kauai,1895,4243,0
Miladhunmadulu,Indian_Ocean,no,5.9665,73.2404,71,1779,22.8,3458,1,0,0,1,31,Sri_Lanka,741,483,16237
Mili,Micronesia,yes,6.131,171.9422,92,3576,14.9,804,1,0,0,2,92,Kosrae,988,3745,738
Minicoy,Indian_Ocean,no,8.2958,73.0451,1,1628,4.8,26,0,1,3,3,13,Sri_Lanka,742,383,10700
Mokil,Micronesia,yes,6.6816046,159.756297,3,2921,1.41,2,4,1,3,6,114,Pohnpei,155,2714,200
Morane,Polynesia,yes,-23.1569,-137.133278,19,1658,2.85,11,2,1,1,2,155,Mangareva,211,6866,0
Moruroa,Polynesia,yes,-21.8347,-138.8842,93,1613,15,143,1,1,1,2,42,Mangareva,423,6748,0
Motu_One,Polynesia,yes,-15.8143,-154.5224,6,1846,2.83,4,2,3,3,4,74,Maupiti,247,5485,0
Motutunga,Polynesia,no,-17.1036,-144.3686,10,1589,2.5,139,1,0,0,2,26,Tahiti,509,6419,0
Murilo,Micronesia,no,8.679,152.2321,11,3000,1.27,362,10,6,10,22,27,Chuuk,138,2388,1000
Namoluk,Micronesia,yes,5.9322222,153.1344444,5,3400,1.37,9,3,1,2,5,56,Chuuk,204,2187,407
Namonuito,Micronesia,no,8.9893699,150.1225296,12,3000,4.5,2031,13,6,12,28,129,Chuuk,224,2285,1341
Namorik,Micronesia,no,5.6137,168.1155,2,3117,2.8,12,4,1,2,4,119,Kosrae,563,3357,508
Namu,Micronesia,yes,7.9867,168.1679,51,2950,6.27,405,7,3,4,7,72,Kosrae,638,3510,780
Nanumanga,Polynesia,no,-6.2885,176.3202,1,3348,3,0.25,1,0,0,0,67,Wallis,1066,3518,491
Nanumea,Polynesia,no,-5.6612,176.1035,2,2962,3.9,6,0,0,0,0,67,Wallis,1136,3303,512
Napuka,Polynesia,yes,-14.1726,-141.231,18,1429,8,22,0,0,0,1,185,Fatu_Iva,489,6859,234
Nengonengo,Polynesia,yes,-18.7518,-141.8072,24,1369,9,72,0,0,0,0,61,Tahiti,777,6600,54
Ngcheangel,Micronesia,yes,8.08693,134.71959,4,3810,1.39,14,9,3,7,24,12,Palau,34,2138,54
Ngulu,Micronesia,no,8.4507,137.4544,9,3426,0.4,409,16,9,20,31,280,Palau,323,2190,26
Niau,Polynesia,yes,-16.1530174,-146.3557281,1,1650,20,33,1,0,1,3,33,Tahiti,352,6276,226
Nihiru,Polynesia,no,-16.6922,-142.8347,33,1724,20,83,0,0,0,0,36,Tahiti,679,6588,11
Nikumaroro,Polynesia,yes,-4.6764,-174.5185,1,1319,3.98,5,0,0,0,0,126,Samoa,991,4165,0
Nikunau,Micronesia,no,-1.3475,176.4512,1,1318,19.38,0,0,0,0,0,46,Nauru,1059,3639,1789
Ninigo,Melanesia,yes,-1.3121,144.2766,31,3382,8.49,354,0,0,0,0,77,Manus,262,1063,2400
Niutao,Polynesia,yes,-6.1087,177.3418,1,2886,2.53,0.06,1,0,0,0,121,Rotuma,703,3381,582
Nomwin,Micronesia,no,8.541064,151.773701,12,3000,1.52,298,10,3,10,22,27,Chuuk,119,2366,1000
