atoll,region,species,nbirds
Byramgore,Indian_Ocean,Thalasseus_bengalensis,500.0
Cherbaniani,Indian_Ocean,Thalasseus_bengalensis,760.0
Kademat,Indian_Ocean,Thalasseus_bengalensis,50.0
Peremul_Par,Indian_Ocean,Thalasseus_bengalensis,70.0
Suheli_Par,Indian_Ocean,Thalasseus_bengalensis,1000.0
Aldabra,Indian_Ocean,Phaethon_lepturus,5060.0
Europa,Indian_Ocean,Phaethon_lepturus,2000.0
Johnston,Polynesia,Phaethon_lepturus,4.0
Kiritimati,Polynesia,Phaethon_lepturus,6.0
Midway,Polynesia,Phaethon_lepturus,10.0
Nikumaroro,Polynesia,Phaethon_lepturus,10.0
Peros_Banhos,Indian_Ocean,Phaethon_lepturus,4.0
Swains,Polynesia,Phaethon_lepturus,3.0
Wake,Micronesia,Phaethon_lepturus,5.0
Ahunui,Polynesia,Phaethon_rubricauda,13.0
Aldabra,Indian_Ocean,Phaethon_rubricauda,3758.0
Caroline,Polynesia,Phaethon_rubricauda,106.0
Clipperton,Polynesia,Phaethon_rubricauda,6.0
Enderbury,Polynesia,Phaethon_rubricauda,200.0
Europa,Indian_Ocean,Phaethon_rubricauda,9000.0
Fangataufa,Polynesia,Phaethon_rubricauda,120.0
French_Frigate_Shoals,Polynesia,Phaethon_rubricauda,444.0
Johnston,Polynesia,Phaethon_rubricauda,21600.0
Kiritimati,Polynesia,Phaethon_rubricauda,960.0
Laysan,Polynesia,Phaethon_rubricauda,4000.0
Malden,Polynesia,Phaethon_rubricauda,100.0
Manra,Polynesia,Phaethon_rubricauda,20.0
Maria,Polynesia,Phaethon_rubricauda,442.0
Maupihaa,Polynesia,Phaethon_rubricauda,48.0
McKean,Polynesia,Phaethon_rubricauda,170.0
Midway,Polynesia,Phaethon_rubricauda,15000.0
Nikumaroro,Polynesia,Phaethon_rubricauda,100.0
Orona,Polynesia,Phaethon_rubricauda,100.0
Paraoa,Polynesia,Phaethon_rubricauda,18.0
Pearl_and_Hermes,Polynesia,Phaethon_rubricauda,159.0
Rawaki,Polynesia,Phaethon_rubricauda,4800.0
Reitoru,Polynesia,Phaethon_rubricauda,78.0
Surprise,Melanesia,Phaethon_rubricauda,6.0
Suwarrow,Polynesia,Phaethon_rubricauda,764.0
Temoe,Polynesia,Phaethon_rubricauda,582.0
Vahanga,Polynesia,Phaethon_rubricauda,20.0
Wake,Micronesia,Phaethon_rubricauda,100.0
French_Frigate_Shoals,Polynesia,Phoebastria_immutabilis,1550.0
Laysan,Polynesia,Phoebastria_immutabilis,281720.0
Midway,Polynesia,Phoebastria_immutabilis,816260.0
Pearl_and_Hermes,Polynesia,Phoebastria_immutabilis,13820.0
Wake,Micronesia,Phoebastria_immutabilis,2.0
French_Frigate_Shoals,Polynesia,Phoebastria_nigripes,8518.0
Laysan,Polynesia,Phoebastria_nigripes,42012.0
Midway,Polynesia,Phoebastria_nigripes,43658.0
Pearl_and_Hermes,Polynesia,Phoebastria_nigripes,13292.0
Wake,Micronesia,Phoebastria_nigripes,6.0
Midway,Polynesia,Phoebastria_albatrus,2.0
Kiritimati,Polynesia,Nesofregetta_fuliginosa,350.0
McKean,Polynesia,Nesofregetta_fuliginosa,20.0
Rawaki,Polynesia,Nesofregetta_fuliginosa,150.0
French_Frigate_Shoals,Polynesia,Hydrobates_tristrami,544.0
Laysan,Polynesia,Hydrobates_tristrami,1400.0
Midway,Polynesia,Hydrobates_tristrami,100.0
Pearl_and_Hermes,Polynesia,Hydrobates_tristrami,7500.0
Fangataufa,Polynesia,Pterodroma_neglecta,2.0
Temoe,Polynesia,Pterodroma_neglecta,2.0
Vahanga,Polynesia,Pterodroma_neglecta,20.0
Fangataufa,Polynesia,Pterodroma_ultima,100.0
Temoe,Polynesia,Pterodroma_ultima,448.0
Vahanga,Polynesia,Pterodroma_ultima,20.0
French_Frigate_Shoals,Polynesia,Pterodroma_hypoleuca,750.0
Laysan,Polynesia,Pterodroma_hypoleuca,200000.0
Midway,Polynesia,Pterodroma_hypoleuca,300000.0
Pearl_and_Hermes,Polynesia,Pterodroma_hypoleuca,1000.0
Kiritimati,Polynesia,Pterodroma_alba,3050.0
Rawaki,Polynesia,Pterodroma_alba,120.0
French_Frigate_Shoals,Polynesia,Bulweria_bulwerii,518.0
Johnston,Polynesia,Bulweria_bulwerii,90.0
Laysan,Polynesia,Bulweria_bulwerii,15000.0
Midway,Polynesia,Bulweria_bulwerii,20.0
Pearl_and_Hermes,Polynesia,Bulweria_bulwerii,10.0
Rawaki,Polynesia,Bulweria_bulwerii,100.0
Bellona,Melanesia,Ardenna_pacifica,37000.0
Clipperton,Polynesia,Ardenna_pacifica,4.0
Enderbury,Polynesia,Ardenna_pacifica,94.0
French_Frigate_Shoals,Polynesia,Ardenna_pacifica,13000.0
Johnston,Polynesia,Ardenna_pacifica,4000.0
Kiritimati,Polynesia,Ardenna_pacifica,6250.0
Laysan,Polynesia,Ardenna_pacifica,300000.0
McKean,Polynesia,Ardenna_pacifica,4.0
Midway,Polynesia,Ardenna_pacifica,10000.0
Ouvéa,Melanesia,Ardenna_pacifica,1000.0
