"","PC1","PC2","PC3","PC4","PC5","PC6","atoll","region","species","presence","cond"
"5372",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Onychoprion_lunatus",FALSE,"Melanesia|Micronesia|Polynesia"
"5373",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Onychoprion_anaethetus",FALSE,"Indian_Ocean|Melanesia"
"5374",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Sternula_nereis",FALSE,"Melanesia"
"5375",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Sternula_saundersi",FALSE,"Indian_Ocean"
"5376",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Hydroprogne_caspia",FALSE,"Indian_Ocean|Melanesia"
"5377",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Sterna_dougallii",FALSE,"Indian_Ocean|Melanesia"
"5378",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Sterna_sumatrana",TRUE,"Indian_Ocean|Melanesia|Micronesia"
"5379",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Thalasseus_bergii",TRUE,"\w+"
"5380",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Thalasseus_bengalensis",FALSE,"Indian_Ocean"
"5381",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Phaethon_lepturus",FALSE,"\w+"
"5382",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Phaethon_rubricauda",FALSE,"\w+"
"5383",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Phoebastria_immutabilis",FALSE,"\d"
"5384",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Phoebastria_nigripes",FALSE,"\d"
"5385",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Phoebastria_albatrus",FALSE,"\d"
"5386",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Nesofregetta_fuliginosa",FALSE,"\d"
"5387",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Hydrobates_tristrami",FALSE,"\d"
"5388",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Pterodroma_neglecta",FALSE,"\d"
"5389",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Pterodroma_heraldica",FALSE,"Polynesia|Melanesia"
"5390",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Pterodroma_ultima",FALSE,"\d"
"5391",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Pterodroma_hypoleuca",FALSE,"\d"
"5392",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Pterodroma_alba",FALSE,"\d"
"5393",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Bulweria_bulwerii",FALSE,"\d"
"5394",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Ardenna_pacifica",TRUE,"\w+"
