"","longitude","latitude","precip_anom","atoll","lat","long"
"80",36.25,-16.25,-1.15999997407198,"Haraiki",-17.4651,-143.4489
"81",311.25,3.75,-1.3199999704957,"Helen",2.8932,131.7843
"82",36.25,-18.75,-1.23999997228384,"Hereheretui",-19.8698,-144.959
"83",36.25,-18.75,-1.23999997228384,"Hikueru",-17.5884,-142.6158
"84",36.25,-16.25,-1.15999997407198,"Hiti",-16.7277,-144.0955
"85",343.75,-18.75,0.0499999988824129,"Huon",-18.1031,162.8905
"86",253.75,1.25,2.72999993897974,"Huvadhu",0.4824,73.275
"87",323.75,6.25,-1.46999996714294,"Ifalik",7.2508,144.4462
"88",253.75,6.25,3.60999991931021,"Ihavandhippolu",7.0279,72.9124
"89",348.75,6.25,-0.0599999986588955,"Jaluit",6.1610085,169.4736579
"90",348.75,11.25,0.0799999982118607,"Jemo",10.07936,169.5249
"91",11.25,16.25,-0.0399999991059303,"Johnston",16.728912,-169.5338365
"92",253.75,11.25,-1.28999997116625,"Kademat",11.2206,72.7685
"93",253.75,11.25,-1.28999997116625,"Kalpeni",10.1026,73.6394
"94",333.75,1.25,-1.43999996781349,"Kapingamarangi",1.0673232,154.7624414
"95",36.25,-16.25,-1.15999997407198,"Katiu",-16.4236,-144.3601
"96",33.75,-16.25,-1.13999997451901,"Kauehi",-15.8772,-145.1562
"97",33.75,-16.25,-1.13999997451901,"Kaukura",-15.7563,-146.6987
"98",253.75,11.25,-1.28999997116625,"Kavaratti",10.55905,72.6365688
"99",336.25,-3.75,-0.799999982118607,"Kilinailau",-4.76,155.3899
"100",253.75,11.25,-1.28999997116625,"Kiltan",11.4803,73.0017
"101",23.75,1.25,-0.34999999217689,"Kiritimati",1.872,-157.3842085
"102",253.75,1.25,2.72999993897974,"Kolhumadulu",2.3764,73.1045
"103",331.25,6.25,-1.1499999742955,"Kuop",7.0496,151.928
"104",1.25,28.75,-0.00999999977648258,"Kure",28.4192965,-178.3299095
"105",353.75,1.25,-0.88999998010695,"Kuria",0.232269,173.413016
"106",346.25,8.75,0.299999993294477,"Kwajalein",9.3825055,167.0714106
"107",346.25,8.75,0.299999993294477,"Lae",8.9367249,166.2321317
"108",326.25,6.25,-1.52999996580184,"Lamotrek",7.4921,146.3187
"109",323.75,-1.25,-1.32999997027218,"Laualau",-1.126591,144.493387
"110",8.75,26.25,0.0199999995529652,"Laysan",25.767765,-171.7328
"111",346.25,8.75,0.299999993294477,"Lib",8.3132,167.3805
"112",348.75,8.75,0.439999990165234,"Likiep",9.9230228,169.0972652
"113",323.75,-1.25,-1.32999997027218,"Liot",-1.4103,144.5115
"114",331.25,-11.25,-0.149999996647239,"Long_Reef",-11.1741,151.5782
"115",333.75,6.25,-1.12999997474253,"Losap",6.884,152.691
"116",333.75,6.25,-1.12999997474253,"Lukunor",5.5552778,153.7425
"117",253.75,6.25,3.60999991931021,"Maalhosmadulu",5.5827,72.9493
"118",353.75,1.25,-0.88999998010695,"Maiana",0.9321,173.0036
"119",351.25,6.25,-0.209999995306134,"Majuro",7.0909924,171.3816354
"120",36.25,-16.25,-1.15999997407198,"Makemo",-16.618,-143.689
"121",253.75,6.25,3.60999991931021,"Makunudhoo",6.3094,72.6161
"122",26.25,-3.75,0.0699999984353781,"Malden",-4.0221,-154.925
"123",253.75,3.75,3.62999991886318,"Male",4.4214,73.5037
"124",351.25,8.75,0.0699999984353781,"Maloelap",8.737,171.0411
"125",333.75,-3.75,-0.949999978765845,"Malum",-3.1461,154.4937
"126",33.75,-13.75,-0.489999989047647,"Manihi",-14.4038,-145.9477
"127",18.75,-11.25,-0.0399999991059303,"Manihiki",-10.4349377,-160.9958241
"128",8.75,-3.75,-0.219999995082617,"Manra",-4.4556,-171.2444
"129",21.25,-18.75,-0.679999984800816,"Manuae",-19.2697,-158.9441
"130",38.75,-18.75,-0.449999989941716,"Manuhangi",-19.2011,-141.2441
"131",353.75,1.25,-0.88999998010695,"Marakei",2.0014,173.2765
"132",26.25,-21.25,-0.699999984353781,"Maria",-21.810839,-154.705309
"133",43.75,-21.25,-0.469999989494681,"Maria_Est",-22.016,-136.1892
"134",38.75,-18.75,-0.449999989941716,"Marokau",-18.0605,-142.2658
"135",36.25,-16.25,-1.15999997407198,"Marutea_Nord",-17.0245,-143.1548
"136",43.75,-21.25,-0.469999989494681,"Marutea_Sud",-21.5207,-135.5566
"137",31.25,-13.75,-0.569999987259507,"Mataiva",-14.8831,-148.6738
