atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Rowa,0.1074,0.0788,0.0014,0.0002,0.196,0.0106,0.0006,0.019,0.0304,0.0322,0.0002,0.0082,0.0754,0.2054,0.003,0.032,0.0898,0.0016,0.0008,0.0038,0.0012,0.0002,0.0032,0.089,0.0004,0.0002,0.0008,0.0006,0.0066,0.0,0.0014,0.071,0.0434,0.5284,0.2096,0.4706,0.0618
Sama,0.068,0.0378,0.0034,0.0,0.3984,0.0036,0.0002,0.0522,0.0206,0.0058,0.0004,0.0032,0.034,0.0696,0.001,0.0202,0.0522,0.0002,0.0002,0.001,0.0028,0.0,0.0002,0.0282,0.0004,0.0,0.0006,0.0,0.0028,0.0,0.0022,0.1766,0.0276,0.0768,0.0056,0.1888,0.0292
Samasuma,0.0486,0.0296,0.0044,0.0002,0.3922,0.0028,0.0,0.053,0.0182,0.0076,0.0,0.0016,0.025,0.058,0.0016,0.0154,0.0642,0.0,0.0002,0.0014,0.003,0.0,0.0002,0.0242,0.0006,0.0,0.0002,0.0,0.0022,0.0,0.0034,0.1798,0.0204,0.0764,0.0052,0.2084,0.0228
St_Francois,0.626,0.0018,0.4518,0.002,0.6792,0.2886,0.0002,0.2574,0.0024,0.0602,0.0916,0.2348,0.43,0.5622,0.0164,0.4624,0.1266,0.0008,0.0016,0.0046,0.0056,0.0012,0.0268,0.0016,0.0354,0.001,0.002,0.001,0.0082,0.0012,0.104,0.3086,0.36,0.085,0.0166,0.0698,0.3618
Taenga,0.849,0.805,0.0036,0.0706,0.8882,0.4112,0.2514,0.0026,0.0018,0.0016,0.0004,0.0006,0.0402,0.145,0.0116,0.089,0.3014,0.014,0.0018,0.0072,0.0118,0.0032,0.0004,0.0062,0.0006,0.005,0.0138,0.0094,0.0154,0.0198,0.0148,0.3904,0.213,0.6092,0.071,0.752,0.6308
Tauere,0.9576,0.9086,0.0038,0.1646,0.9042,0.6788,0.1588,0.0038,0.0028,0.0032,0.0016,0.002,0.1502,0.2694,0.0048,0.2744,0.3054,0.0266,0.0052,0.0106,0.0096,0.0114,0.0028,0.0112,0.002,0.0132,0.0224,0.0414,0.0446,0.063,0.0138,0.4078,0.4658,0.8762,0.2756,0.76,0.8318
Tenaruga,0.8592,0.5914,0.0004,0.0274,0.585,0.4114,0.0558,0.0008,0.0006,0.0072,0.0018,0.0014,0.0818,0.2084,0.003,0.1194,0.109,0.0404,0.0012,0.0094,0.0026,0.007,0.0008,0.0022,0.0028,0.0076,0.0024,0.0254,0.0082,0.0244,0.004,0.1152,0.3248,0.9934,0.882,0.6728,0.6032
Tepoto,0.7388,0.5856,0.0016,0.0286,0.8516,0.335,0.0516,0.0022,0.0022,0.003,0.0006,0.0002,0.0386,0.191,0.0014,0.0864,0.4222,0.0194,0.0022,0.009,0.0078,0.0034,0.003,0.0022,0.0012,0.0046,0.0098,0.0086,0.0058,0.0192,0.0156,0.3044,0.2164,0.788,0.1864,0.5518,0.5406
Thiladhunmathi,0.875,0.0328,0.5898,0.0292,0.6802,0.4364,0.0026,0.3132,0.0034,0.0154,0.1952,0.495,0.6738,0.4942,0.091,0.6408,0.0362,0.0006,0.0008,0.0036,0.011,0.0144,0.0076,0.013,0.0556,0.0056,0.0068,0.0252,0.1026,0.0008,0.122,0.4576,0.5834,0.0004,0.0002,0.109,0.5164
Tuanake,0.6756,0.5362,0.002,0.0198,0.848,0.2702,0.1322,0.0018,0.0016,0.0018,0.0008,0.0,0.0186,0.1332,0.0024,0.0452,0.3456,0.0148,0.001,0.0074,0.0058,0.0014,0.0008,0.0014,0.0002,0.003,0.0076,0.0046,0.0048,0.0116,0.0114,0.2988,0.1538,0.7596,0.179,0.6442,0.454
Vahitahi,0.9814,0.9528,0.0036,0.2776,0.8234,0.8086,0.1948,0.0032,0.002,0.0052,0.0032,0.0068,0.304,0.3592,0.0058,0.426,0.2192,0.0344,0.0058,0.0136,0.008,0.033,0.0064,0.0092,0.0034,0.0394,0.0204,0.0898,0.0754,0.1254,0.0116,0.31,0.666,0.9454,0.548,0.789,0.9146
West_Fayu,0.9636,0.9596,0.001,0.0566,0.7866,0.4676,0.0184,0.005,0.003,0.0024,0.0078,0.0092,0.8072,0.8558,0.0,0.3998,0.137,0.0042,0.0178,0.0022,0.0034,0.0018,0.0062,0.003,0.0016,0.0032,0.0026,0.0186,0.1414,0.021,0.0004,0.0798,0.7862,0.0742,0.0086,0.2914,0.6274
Woleai,0.9656,0.9572,0.0022,0.0606,0.7514,0.3674,0.0364,0.0048,0.0006,0.0006,0.0062,0.0064,0.7462,0.7678,0.0008,0.282,0.0638,0.0016,0.007,0.0016,0.001,0.0022,0.0014,0.0046,0.0008,0.0018,0.0008,0.0198,0.1308,0.0118,0.0002,0.0744,0.7282,0.0208,0.0008,0.3112,0.5214
