atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Namoluk,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,-1,
Namu,-1,-1,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,-1
Napuka,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nengonengo,-1,-1,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,-1,,,-1
Ngcheangel,-1,,,,-1,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Niau,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikumaroro,40,1000,,,400,9,,,,,,,,,,10,200,,,,,,,,,,,,,,,120,2,8,,,400
Ninigo,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,-1,
Niutao,-1,-1,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Nonouti,-1,-1,,,-1,-1,-1,,,,,,-1,-1,,,,,,,,,,,,,,,,,,-1,,,,-1,
Nuguria,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,-1,-1,,,-1,-1
Nukapu,-1,-1,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,-1,,,,
Nukulaelae,-1,-1,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,
Nukumanu,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,-1,-1,,,-1,-1
Nukunonu,20000,10000,,,10000,3200,,,,,,,100,,,10,20,,,,,,,,,,,,,,,,,,,100,1500
Nukuoro,-1,-1,,,,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,-1
Nukutepipi,-1,-1,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,-1
Numa_Miombilou,300,500,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nupani,300,500,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,200,10,,,100,200
Oeno,1600,200,,,2000,-1,,,,,,,,,,,1440,,,,,,200,,25000,,32,,,,,,200,550,,,500
Onotoa,-1,-1,,,-1,-1,,,,,,,-1,-1,,,-1,,,,,,,,,,,,,,,-1,-1,,,,-1
