"","longitude","latitude","precip_anom"
"411",13.75,-36.25,0.0699999984353781
"412",13.75,-38.75,0.00999999977648258
"413",13.75,-41.25,0.189999995753169
"414",13.75,-43.75,0.119999997317791
"415",13.75,-46.25,0.199999995529652
"416",13.75,-48.75,0.0399999991059303
"417",13.75,-51.25,0.0399999991059303
"418",13.75,-53.75,0.00999999977648258
"419",13.75,-56.25,-0.0199999995529652
"420",13.75,-58.75,-0.0999999977648258
"421",13.75,-61.25,-0.0699999984353781
"422",13.75,-63.75,-0.0799999982118607
"423",13.75,-66.25,-0.0799999982118607
"424",13.75,-68.75,-0.0299999993294477
"425",13.75,-71.25,0.0399999991059303
"426",13.75,-73.75,0.0799999982118607
"427",13.75,-76.25,0.00999999977648258
"428",13.75,-78.75,0
"429",13.75,-81.25,0
"430",13.75,-83.75,0
"431",13.75,-86.25,-0.00999999977648258
"432",13.75,-88.75,0.00999999977648258
"433",16.25,88.75,NA
"434",16.25,86.25,NA
"435",16.25,83.75,NA
"436",16.25,81.25,NA
"437",16.25,78.75,NA
"438",16.25,76.25,NA
"439",16.25,73.75,NA
"440",16.25,71.25,NA
"441",16.25,68.75,-0.0899999979883432
"442",16.25,66.25,-0.0899999979883432
"443",16.25,63.75,-0.0399999991059303
"444",16.25,61.25,0
"445",16.25,58.75,-0.0499999988824129
"446",16.25,56.25,-0.0599999986588955
"447",16.25,53.75,0
"448",16.25,51.25,0.169999996200204
"449",16.25,48.75,0.0599999986588955
"450",16.25,46.25,0.00999999977648258
"451",16.25,43.75,-0.119999997317791
"452",16.25,41.25,0.209999995306134
"453",16.25,38.75,0.129999997094274
"454",16.25,36.25,0.149999996647239
"455",16.25,33.75,-0.0299999993294477
"456",16.25,31.25,0.0299999993294477
"457",16.25,28.75,0.0499999988824129
"458",16.25,26.25,0.00999999977648258
"459",16.25,23.75,0.0199999995529652
"460",16.25,21.25,0.0199999995529652
"461",16.25,18.75,0.00999999977648258
"462",16.25,16.25,-0.0499999988824129
"463",16.25,13.75,-0.139999996870756
"464",16.25,11.25,-0.26999999396503
"465",16.25,8.75,-0.279999993741512
"466",16.25,6.25,-0.329999992623925
"467",16.25,3.75,-0.57999998703599
"468",16.25,1.25,-0.589999986812472
"469",16.25,-1.25,-0.34999999217689
"470",16.25,-3.75,0.0399999991059303
"471",16.25,-6.25,-0.159999996423721
"472",16.25,-8.75,-0.199999995529652
"473",16.25,-11.25,-0.119999997317791
"474",16.25,-13.75,-0.149999996647239
"475",16.25,-16.25,-0.259999994188547
"476",16.25,-18.75,-0.339999992400408
"477",16.25,-21.25,-0.199999995529652
"478",16.25,-23.75,-0.119999997317791
"479",16.25,-26.25,-0.0699999984353781
"480",16.25,-28.75,-0.0199999995529652
"481",16.25,-31.25,0.00999999977648258
"482",16.25,-33.75,0.0399999991059303
"483",16.25,-36.25,0.0599999986588955
"484",16.25,-38.75,-0.0899999979883432
"485",16.25,-41.25,0.109999997541308
"486",16.25,-43.75,0.159999996423721
"487",16.25,-46.25,0.119999997317791
"488",16.25,-48.75,0.0899999979883432
"489",16.25,-51.25,0.00999999977648258
"490",16.25,-53.75,-0.0299999993294477
"491",16.25,-56.25,-0.00999999977648258
"492",16.25,-58.75,-0.149999996647239
"493",16.25,-61.25,-0.0499999988824129
"494",16.25,-63.75,-0.0799999982118607
"495",16.25,-66.25,-0.0699999984353781
"496",16.25,-68.75,-0.00999999977648258
"497",16.25,-71.25,0.00999999977648258
"498",16.25,-73.75,0.0599999986588955
"499",16.25,-76.25,0
"500",16.25,-78.75,0
"501",16.25,-81.25,0
"502",16.25,-83.75,0
"503",16.25,-86.25,-0.00999999977648258
"504",16.25,-88.75,-0.0199999995529652
"505",18.75,88.75,NA
"506",18.75,86.25,NA
"507",18.75,83.75,NA
"508",18.75,81.25,NA
"509",18.75,78.75,NA
"510",18.75,76.25,NA
