atoll,region,species,mean,lower005,upper095
Ari,Indian_Ocean,Anous_tenuirostris,0.29703368822615844,0.09999706055020915,0.5619761642133012
Ari,Indian_Ocean,Anous_ceruleus,0.10113770168244911,0.022709402622618145,0.2447833368954471
Ari,Indian_Ocean,Gygis_alba,0.5249874074156153,0.26137109056285684,0.7803279102905502
Ari,Indian_Ocean,Onychoprion_fuscatus,0.34181096310142356,0.1317798145083677,0.6067257067601725
Ari,Indian_Ocean,Onychoprion_lunatus,0.09217126003731177,0.021236190535280346,0.2210308194340296
Ari,Indian_Ocean,Onychoprion_anaethetus,0.21014972774349308,0.06238575958891816,0.43841345622748007
Ari,Indian_Ocean,Sternula_nereis,0.07144547033961653,0.014569538967481007,0.1824970836534342
Ari,Indian_Ocean,Sternula_saundersi,0.09140193563194654,0.01928964178039847,0.2307494746730842
Ari,Indian_Ocean,Hydroprogne_caspia,0.2114688468081847,0.06007063824177336,0.4492173759528338
Ari,Indian_Ocean,Sterna_dougallii,0.24799932800149158,0.0760242035458953,0.4992018405870921
Ari,Indian_Ocean,Sterna_sumatrana,0.543931630034507,0.2706768559630518,0.7983311214113105
Ari,Indian_Ocean,Thalasseus_bergii,0.445065028618394,0.1891248127013276,0.7208186413996748
Ari,Indian_Ocean,Thalasseus_bengalensis,0.384388410769111,0.15492599333316823,0.6558888566876476
Ari,Indian_Ocean,Phaethon_lepturus,0.4317327572777347,0.18436177151130334,0.7042411917318524
Ari,Indian_Ocean,Phaethon_rubricauda,0.13186258167840462,0.04046654797812614,0.28082286797876693
Ari,Indian_Ocean,Phoebastria_immutabilis,0.07578904388146712,0.015610391859647167,0.19277737543275922
Ari,Indian_Ocean,Phoebastria_nigripes,0.04574968760458011,0.010435521225580472,0.11163600535823623
Ari,Indian_Ocean,Phoebastria_albatrus,0.07291192452564323,0.014333716447675733,0.18675362911153104
Ari,Indian_Ocean,Nesofregetta_fuliginosa,0.08504615304485483,0.02007188309168022,0.19886636353181417
Ari,Indian_Ocean,Hydrobates_tristrami,0.0762044071704901,0.018031744636865313,0.17951008208396582
Ari,Indian_Ocean,Pterodroma_neglecta,0.05281200295341358,0.010955856456003386,0.13325432505872778
Ari,Indian_Ocean,Pterodroma_heraldica,0.16345431754346512,0.042117369353474474,0.3601435022665991
Ari,Indian_Ocean,Pterodroma_ultima,0.13352615637233473,0.02732371074679378,0.32803838167476185
Ari,Indian_Ocean,Pterodroma_hypoleuca,0.08531857996355244,0.020744163081820692,0.1996615721892649
Ari,Indian_Ocean,Pterodroma_alba,0.07845236123313513,0.017348821883260306,0.19445022518661106
Ari,Indian_Ocean,Bulweria_bulwerii,0.06817333805676083,0.013927366153737504,0.1738613360056261
Ari,Indian_Ocean,Ardenna_pacifica,0.2094184109915799,0.08274965195635897,0.38402317864411667
Ari,Indian_Ocean,Puffinus_nativitatis,0.07366331824614224,0.01835241072590394,0.17261499833151658
Ari,Indian_Ocean,Puffinus_bailloni,0.18948413926451932,0.06516488539028613,0.3671820548131762
Ari,Indian_Ocean,Fregata_ariel,0.22915615656777685,0.07301205369181912,0.46285511425261394
Ari,Indian_Ocean,Fregata_minor,0.2766481996642297,0.0936517707869841,0.5348199486678112
Ari,Indian_Ocean,Sula_dactylatra,0.06550359713622356,0.013744228360139318,0.1656448752649618
Ari,Indian_Ocean,Sula_granti,0.038426417100523615,0.006129514910242338,0.10678718072033194
Ari,Indian_Ocean,Sula_leucogaster,0.19887317253462405,0.060226434748974565,0.415504392009889
Ari,Indian_Ocean,Sula_sula,0.4312879453732575,0.18894171513606012,0.6975231407036885
Awin,Melanesia,Anous_stolidus,0.492632484895165,0.20913060655670698,0.7802001117770496
Awin,Melanesia,Anous_minutus,0.3185670840626522,0.10278441150695329,0.6066354409224228
Awin,Melanesia,Anous_tenuirostris,0.10120404680117959,0.017784810772515067,0.26750608223270905
Awin,Melanesia,Anous_ceruleus,0.02245806758825655,0.003577918972310286,0.06262653182953927
Awin,Melanesia,Gygis_alba,0.5154856079995087,0.22829193232827077,0.7970510110564619
Awin,Melanesia,Onychoprion_fuscatus,0.08154549346815831,0.018031498083301987,0.19947057317681038
Awin,Melanesia,Onychoprion_lunatus,0.054982513693287854,0.00979083462746467,0.14628589394837235
Awin,Melanesia,Onychoprion_anaethetus,0.14093554719874374,0.030793622282501418,0.34364316421183794
Awin,Melanesia,Sternula_nereis,0.19586054627950777,0.04850866365585353,0.43679718248471716
Awin,Melanesia,Sternula_saundersi,0.07892989760332154,0.01373678120371332,0.21399813860665642
Awin,Melanesia,Hydroprogne_caspia,0.03576196368735467,0.0059886685259598615,0.09862778462378835
Awin,Melanesia,Sterna_dougallii,0.05584976877563956,0.011144408588768504,0.1452194748886812
Awin,Melanesia,Sterna_sumatrana,0.28290759195295406,0.09139230047480676,0.5514491158739012
Awin,Melanesia,Thalasseus_bergii,0.24565087272958164,0.07234668749515544,0.510231174489861
Awin,Melanesia,Thalasseus_bengalensis,0.054552953887093,0.010584950891546867,0.14211757320788107
Awin,Melanesia,Phaethon_lepturus,0.17062938600869326,0.04514892252206355,0.3770450256341305
Awin,Melanesia,Phaethon_rubricauda,0.21218230945045857,0.06137331616837162,0.44241842268298803
