atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Lib,0.9374,0.9258,0.0576,0.0816,0.8986,0.514,0.0972,0.0588,0.0626,0.0708,0.0672,0.0712,0.7512,0.799,0.0372,0.3454,0.22,0.0622,0.1182,0.0592,0.071,0.0588,0.1036,0.0612,0.0692,0.065,0.0794,0.066,0.1932,0.0948,0.0598,0.2164,0.6692,0.1174,0.0508,0.5236,0.6582
Liot,0.5286,0.375,0.0644,0.0262,0.4064,0.0962,0.066,0.106,0.2236,0.0712,0.0334,0.0632,0.3222,0.273,0.0584,0.1788,0.1768,0.0676,0.0502,0.0864,0.059,0.036,0.027,0.1556,0.0574,0.0444,0.054,0.036,0.1,0.0306,0.0542,0.356,0.2012,0.201,0.0968,0.4062,0.272
Long_Reef,0.636,0.6338,0.0662,0.0694,0.453,0.1616,0.075,0.1154,0.16,0.0496,0.052,0.0888,0.3826,0.38,0.0774,0.237,0.1962,0.0842,0.085,0.0908,0.0722,0.0586,0.051,0.0658,0.0482,0.0484,0.072,0.0662,0.243,0.043,0.069,0.3996,0.239,0.2486,0.126,0.4614,0.3868
Maalhosmadulu,0.511,0.0714,0.2286,0.068,0.4398,0.3134,0.0802,0.1584,0.061,0.0762,0.1852,0.2078,0.5116,0.4268,0.364,0.3926,0.103,0.0674,0.0326,0.0624,0.0582,0.0574,0.0394,0.1452,0.0876,0.0716,0.0636,0.046,0.1804,0.0602,0.1502,0.1718,0.2384,0.1204,0.0844,0.2008,0.3756
Makemo,0.9136,0.8008,0.0306,0.1684,0.8852,0.2768,0.2432,0.0354,0.0278,0.031,0.0216,0.0166,0.0578,0.1962,0.0798,0.0932,0.4268,0.0632,0.0236,0.0392,0.0456,0.0512,0.0414,0.0374,0.0766,0.0422,0.0298,0.0654,0.0858,0.0632,0.0518,0.3128,0.3142,0.2648,0.0306,0.5356,0.574
Makunudhoo,0.5546,0.0788,0.2466,0.0678,0.466,0.413,0.0576,0.1768,0.0826,0.104,0.2322,0.3006,0.61,0.457,0.2308,0.5,0.1174,0.0574,0.068,0.059,0.0668,0.0636,0.082,0.1632,0.1198,0.0988,0.0978,0.0574,0.1966,0.09,0.1574,0.2026,0.3106,0.1212,0.075,0.1984,0.469
Male,0.5458,0.0912,0.2416,0.084,0.4408,0.3792,0.0844,0.1686,0.0674,0.084,0.2078,0.2418,0.5586,0.4238,0.3846,0.4612,0.1084,0.0664,0.0432,0.0676,0.0628,0.0614,0.044,0.1574,0.105,0.085,0.0718,0.0564,0.2108,0.0724,0.1502,0.1848,0.2774,0.1014,0.0664,0.2072,0.4266
Maloelap,0.9232,0.9172,0.0496,0.0868,0.89,0.4342,0.1474,0.0492,0.0498,0.04,0.0662,0.063,0.6808,0.7496,0.0914,0.2696,0.1618,0.073,0.0474,0.0518,0.0646,0.053,0.0354,0.0652,0.0544,0.049,0.0484,0.0646,0.184,0.0798,0.0496,0.2164,0.6254,0.1066,0.044,0.5176,0.59
Malum,0.4678,0.3946,0.0496,0.025,0.3386,0.1238,0.055,0.0726,0.1638,0.0394,0.0396,0.0654,0.329,0.226,0.0504,0.1912,0.1166,0.0464,0.0394,0.0612,0.0448,0.0376,0.0198,0.1114,0.0388,0.0396,0.0524,0.0384,0.1006,0.0306,0.0464,0.2828,0.2048,0.2216,0.1052,0.321,0.3014
Manuae,0.9568,0.919,0.0432,0.3758,0.9118,0.5482,0.1672,0.0478,0.0388,0.061,0.052,0.0564,0.191,0.3358,0.0318,0.2706,0.4892,0.0822,0.1478,0.062,0.0644,0.1026,0.2996,0.0282,0.1352,0.104,0.0892,0.1292,0.2238,0.188,0.0776,0.38,0.5474,0.3716,0.0672,0.6126,0.8102
