atoll,region,species,nbirds
Helen,Micronesia,Sterna_sumatrana,350.0
Huon,Melanesia,Sterna_sumatrana,145.0
Jaluit,Micronesia,Sterna_sumatrana,20.0
Kuria,Micronesia,Sterna_sumatrana,11.0
Kwajalein,Micronesia,Sterna_sumatrana,91.0
Nukunonu,Polynesia,Sterna_sumatrana,100.0
Ouvéa,Melanesia,Sterna_sumatrana,136.0
Peros_Banhos,Indian_Ocean,Sterna_sumatrana,66.0
Rongerik,Micronesia,Sterna_sumatrana,65.0
Saloman,Indian_Ocean,Sterna_sumatrana,154.0
Sorol,Micronesia,Sterna_sumatrana,12.0
St_Francois,Indian_Ocean,Sterna_sumatrana,24.0
St_Joseph,Indian_Ocean,Sterna_sumatrana,20.0
Surprise,Melanesia,Sterna_sumatrana,82.0
Taka,Micronesia,Sterna_sumatrana,33.0
Ailinginae,Micronesia,Thalasseus_bergii,38.0
Aldabra,Indian_Ocean,Thalasseus_bergii,160.0
Ant,Micronesia,Thalasseus_bergii,15.0
Aratika,Polynesia,Thalasseus_bergii,50.0
Bangaram,Indian_Ocean,Thalasseus_bergii,200.0
Beautemps-Beaupre,Melanesia,Thalasseus_bergii,27.0
Bellona,Melanesia,Thalasseus_bergii,108.0
Bikar,Micronesia,Thalasseus_bergii,76.0
Bikini,Micronesia,Thalasseus_bergii,70.0
Bokaak,Micronesia,Thalasseus_bergii,125.0
Butaritari,Micronesia,Thalasseus_bergii,24.0
Byramgore,Indian_Ocean,Thalasseus_bergii,50.0
Cherbaniani,Indian_Ocean,Thalasseus_bergii,1900.0
Chesterfield,Melanesia,Thalasseus_bergii,588.0
Cosmoledo,Indian_Ocean,Thalasseus_bergii,468.0
Diego_Garcia,Indian_Ocean,Thalasseus_bergii,28.0
Egmont,Indian_Ocean,Thalasseus_bergii,140.0
Eniwetok,Micronesia,Thalasseus_bergii,2.0
Erikub,Micronesia,Thalasseus_bergii,10.0
Farquhar,Indian_Ocean,Thalasseus_bergii,16.0
Great_Chagos_Bank,Indian_Ocean,Thalasseus_bergii,202.0
Helen,Micronesia,Thalasseus_bergii,6000.0
Huon,Melanesia,Thalasseus_bergii,118.0
Jaluit,Micronesia,Thalasseus_bergii,12.0
Kademat,Indian_Ocean,Thalasseus_bergii,150.0
Kiritimati,Polynesia,Thalasseus_bergii,200.0
Kuria,Micronesia,Thalasseus_bergii,29.0
Kwajalein,Micronesia,Thalasseus_bergii,43.0
Maiana,Micronesia,Thalasseus_bergii,15.0
Maupihaa,Polynesia,Thalasseus_bergii,94.0
Ouvéa,Melanesia,Thalasseus_bergii,865.0
